No.,Current age,"(I'm a private question) Currently, which status is it?","What do you learn? (If there are multiple, the most powerful)",Are there any other learning other than the above?,Are you learning related to the current work?,Why do you learn that? (Multiple selection possible),How much learn about the week? (Please answer in minutes. It is fine in the range that you can see),How long have you started learning? (Please answer in weeks.,Do you think that the motivation of learning is rising or maintained?,Do you think that you can not run for temptation during learning or can not concentrate?,When do you learn?,Where do you learn?,"When I was troubled with study, are there any mentored people who can hear it?","Ask those who answered that ""there is no mentorist"" attached to the above questions. Are you really needed? Also, I ask if you answered that ""I'm not saying"". Do you want to have a mentor more than now?","Have you received a lesson at some institution, such as schools and company training? Or is it an university?"
1,24,single,programming,(2-3),Very related,Because necessary for business,30,48,I think a little,I think so,Midnight (23:00 to 3: 59),one's home,"Not (not basically, there is an opportunity to hear some cases)",I think so,Not received (self-study)
2,40,Married (there is a child),"English, Programming, Web Design",Yes (more),Neither Agree Nor Disagree,Because I am interested because I want to connect to career in the future,1200,24,I think so,Neither Agree Nor Disagree,"Morning (4: 00-10: 59), night (17: 00-22: 59), midnight (23:00 to 3: 59)",one's home,In all,I think so,Not received (self-study)
3,31,Married (there is a child),Video production,(2-3),There is no relationship,"Because I want to connect to career in the future, because I am interested because of money",280,48,I think so,Neither Agree Nor Disagree,"Morning (4: 00-10: 59), night (17: 00-22: 59)",one's home,"(I can hear it, but there is a limit to some extent)",I think a little,Not received (self-study)
4,24,single,programming,(2-3),Slightly related,Because I want to connect to career in the future,500,40,I think a little,Neither Agree Nor Disagree,Night (17: 00-22: 59),one's home,In all,I think a little,Not received (self-study)
5,29,single,Graduate courses (Cyber ​​Security),(2-3),Slightly related,"Because I want to connect to career in the future, because I am interested because of money",1680,8,I think so,I think a little,"Morning (4: 00-10: 59), noon (11: 09-13: 59), noon (14: 00-16: 59), night (17: 00-22: 59)","Others such as home, cafe and cooling","(I can hear it, but there is a limit to some extent)",I think a little,is recieving
6,23,single,programming,Not (only one),There is no relationship,Because I am interested because I want to connect to career in the future,240,24,Neither Agree Nor Disagree,I think so,"Noon (11: 09-13: 59), noon (14: 00-16: 59), night (17: 00-22: 59)","Home, cafe and cooling","(I can hear it, but there is a limit to some extent)",I think a little,is recieving
7,34,single,programming,(2-3),Slightly related,Because I want to connect to career in the future,300,70,I think a little,I think so,Morning (4: 00-10: 59),Cafe and cooling,In all,I think so,Not received (self-study)
8,24,single,Data science,(2-3),Slightly related,"Because it is necessary to connect to career in the future, as it is necessary for work",180,12,I think a little,Neither Agree Nor Disagree,Night (17: 00-22: 59),one's home,"Not (not basically, there is an opportunity to hear some cases)",I think a little,Not received (self-study)
9,20,single,programming,Not (only one),There is no relationship,"Because I want to connect to career in the future, because I am interested because of money",1200,20,Neither Agree Nor Disagree,I do not think much,Night (17: 00-22: 59),one's home,"(I can hear it, but there is a limit to some extent)",I do not think much,is recieving
10,46,Married (there is a child),Software engineering,(2-3),Very related,Because it is interested because it is necessary for work,1500,16,I think a little,I think a little,"Morning (4: 00-10: 59), night (17: 00-22: 59)","Home, commuter train","Not (not basically, there is an opportunity to hear some cases)",I think a little,is recieving
