age,entry,final education,year,study load,job offer
1,15,1,2019,600,1
1,50,0,2021,600,2
1,5,1,2021,1200,1
0,70,0,2021,65,1
0,5,1,2021,600,4
0,5,1,2021,200,1
1,5,1,2019,400,1
0,5,1,2021,1200,4
1,5,1,2020,800,1
0,70,1,2021,800,4
0,70,1,2020,800,4
0,5,1,2019,65,1
0,30,1,2021,800,1
1,30,1,2022,1200,1
1,30,1,2019,400,2
0,5,1,2021,65,2
0,5,1,2020,15,0
0,15,1,2021,800,1
0,5,1,2020,15,1
1,5,1,2021,400,1
0,15,1,2021,800,1
0,70,0,2021,400,3
0,50,1,2021,800,2
0,15,1,2021,200,1
0,15,1,2020,15,3
0,30,1,2019,65,6
1,15,0,2021,800,2
0,5,0,2021,600,1
0,70,0,2020,1200,4
1,5,0,2018,600,1
1,5,1,2019,65,2
1,5,0,2022,65,1
0,15,1,2022,200,1
1,30,1,2020,1200,1
0,15,1,2022,800,0
0,5,1,2020,800,2
0,15,0,2021,400,1
0,30,1,2021,800,2
0,5,1,2021,200,2
0,5,1,2021,200,1
0,15,1,2021,1200,2
1,50,1,2021,800,2
0,30,1,2021,400,1
1,5,0,2018,200,1
0,5,1,2021,1200,1
0,5,1,2021,15,1
0,70,1,2021,1000,4
0,5,1,2017,400,2
0,30,1,2021,600,8
0,30,1,2021,600,0
0,5,0,2021,200,1
0,5,1,2021,1000,1
0,15,1,2021,1200,3
0,30,1,2020,15,8
0,5,0,2021,65,2
1,15,0,2022,400,0
1,5,1,2021,400,4
0,30,1,2021,800,2
0,5,1,2021,200,3
0,5,0,2021,600,2
0,5,1,2020,400,0
0,5,1,2018,15,2
0,5,1,2021,65,3
1,5,1,2021,1000,1
0,5,1,2021,600,1
0,50,1,2021,600,1
1,70,1,2020,400,2
0,5,1,2020,400,1
1,5,0,2021,1000,1
0,5,1,2022,65,0
0,5,1,2020,600,1
0,70,1,2020,400,2
1,5,0,2022,1000,1
0,5,1,2021,400,1
0,15,1,2021,600,1
0,5,1,2021,15,1
0,30,0,2022,800,0
0,5,1,2021,15,4
0,70,1,2021,800,1
0,15,1,2021,200,3
0,5,1,2019,800,2
0,30,1,2021,1000,2
1,15,1,2021,1200,1
0,5,1,2021,600,1
0,5,1,2021,600,3
0,30,1,2021,600,3
0,5,1,2022,15,2
0,5,1,2020,800,3
1,15,0,2021,65,2
0,5,1,2020,800,1
1,5,1,2022,65,0
0,15,1,2022,200,0
0,5,1,2021,15,2
1,5,0,2020,15,2
0,15,1,2021,1200,1
0,15,1,2022,65,0
0,70,1,2021,1200,3
1,5,0,2022,1000,1
0,5,1,2021,800,1
0,5,1,2019,400,1
0,15,1,2021,400,1
1,70,1,2021,1200,3
0,15,1,2021,400,1
0,70,1,2021,600,2
0,5,1,2021,200,1
0,5,1,2019,200,0
0,5,1,2021,1200,1
0,50,1,2021,400,2
0,5,1,2019,800,2
0,15,1,2020,400,1
0,5,1,2021,400,3
1,70,0,2021,400,2
0,5,1,2021,65,3
0,5,0,2021,200,2
0,5,1,2021,65,1
0,5,1,2019,200,2
0,5,1,2018,400,1
0,5,1,2021,65,1
0,5,1,2019,200,2
0,5,0,2020,15,2
0,70,1,2020,200,1
1,70,0,2019,600,2
0,50,1,2017,400,1
1,5,1,2022,400,0
0,70,1,2021,800,1
0,5,0,2020,800,2
0,5,1,2021,1000,4
0,5,1,2020,400,2
1,5,1,2020,800,1
0,70,1,2021,200,2
0,15,1,2020,65,1
0,5,1,2021,400,1
0,5,1,2018,65,4
0,15,1,2022,600,0
1,5,0,2021,800,4
0,5,1,2011,800,1
0,5,0,2020,200,2
0,70,1,2018,400,1
0,30,0,2021,400,4
0,5,1,2022,65,0
0,70,1,2020,1000,4
0,5,0,2015,1200,1
0,30,0,2021,400,4
1,5,0,2021,65,0
0,70,1,2020,600,5
1,70,1,2021,1200,1
1,15,1,2021,1200,4
0,5,1,2021,65,3
0,50,1,2019,400,4
0,30,1,2021,800,1
0,15,1,2021,200,2
1,15,1,2021,800,2
0,30,1,2021,600,1
0,5,1,2021,15,1
0,30,1,2021,800,2
1,5,0,2018,800,1
0,5,1,2019,65,2
0,5,0,2020,200,1
1,30,1,2022,65,1
0,15,1,2020,600,1
1,5,1,2019,200,1
1,30,0,2021,600,1
1,5,1,2021,1000,1
1,15,1,2020,800,2
1,5,1,2015,15,1
0,5,1,2020,400,2
0,50,1,2021,400,1
1,5,1,2017,65,1
1,5,1,2021,600,3
0,5,0,2019,600,2
0,15,1,2019,15,5
0,30,0,2021,200,2
0,30,1,2021,200,1
0,5,0,2021,600,3
1,5,1,2021,400,1
0,70,1,2022,1200,1
0,5,1,2022,400,0
0,30,1,2021,1000,1
0,15,1,2019,15,4
1,15,1,2021,800,3
0,50,1,2022,800,1
0,5,1,2022,1000,0
1,15,0,2022,1200,0
0,5,1,2021,1000,1
0,5,0,2018,200,2
0,15,1,2022,1000,1
1,5,0,2018,200,2
0,30,1,2020,800,3
0,15,0,2020,200,1
0,5,1,2021,1000,1
0,5,1,2021,1000,1
1,15,0,2021,400,0
0,5,0,2022,65,0
1,15,1,2022,200,1
0,5,0,2022,1200,1
1,5,1,2021,65,1
0,5,1,2022,65,0
0,30,1,2021,800,1
0,5,0,2016,15,1
0,30,1,2021,800,2
1,50,0,2022,65,0
0,15,1,2022,1000,1
0,5,1,2021,15,1
0,5,1,2020,400,2
