Timestamp,ご年齢,エントリーした会社数,最終学歴,就活した時期,勉強時間,内定数
1/30/2022 7:36:27,27,11~20社,立命館大学産業社会学部　卒業,2019,501~700時間,1
1/30/2022 7:54:44,34,41~60社,高卒（普通科）,2021,501~700時間,2
1/30/2022 8:18:19,35,1~10社,広島大学総合科学部 卒業,2021,1101時間以上,1
1/30/2022 8:36:39,29,61社以上,高卒,2021,30~100時間,1
1/30/2022 9:00:09,25,1~10社,神奈川柔整鍼灸専門学校　柔道整復学科　卒業,2021,501~700時間,4
1/30/2022 9:08:34,26,1~10社,下関市立大学 中退,2021,101~300時間,1
1/30/2022 9:08:39,33,1~10社,機械学科卒業,2019,301~500時間,1
1/30/2022 9:11:56,27,1~10社,国公立大農学部卒業,2021,1101時間以上,4
1/30/2022 9:18:34,31,1~10社,オーストラリア州立クイーンズランド工科大学Master of education 修了,2020,701~900時間,1
1/30/2022 9:19:43,29,61社以上,武蔵野大学人間科学科(文系) 卒業,2021,701~900時間,4
1/30/2022 9:41:27,28,61社以上,佐久大学看護学部卒業,2020,701~900時間,4
1/30/2022 9:54:48,22,1~10社,同志社大学文学部　卒業,2019,30~100時間,1
1/30/2022 9:57:47,23,21~40社,青山学院大学経済学部　卒業,2021,701~900時間,1
1/30/2022 10:04:54,30,21~40社,新潟県立新潟江南高等学校　卒業,2022,1101時間以上,1
1/30/2022 10:47:24,45,41~60社,大学卒,2009,30~100時間,1
1/30/2022 11:19:09,30,21~40社,法政大学国際文化学部　卒業,2019,301~500時間,2
1/30/2022 11:26:29,27,1~10社,中学卒業,2021,30~100時間,2
1/30/2022 11:41:28,27,1~10社,立正大学地球環境科学部　卒業,2020,30時間未満,0
1/30/2022 11:55:46,27,11~20社,山口大学,2021,701~900時間,1
1/30/2022 12:22:33,23,1~10社,駒澤大学　経済学部　卒業,2020,30時間未満,1
1/30/2022 12:41:20,33,1~10社,松山大学　経営学部,2021,301~500時間,1
1/30/2022 12:42:15,25,11~20社,金沢学院大学文学部文学科心理学専攻  卒業,2021,701~900時間,1
1/30/2022 12:42:43,26,61社以上,工業高校情報化卒,2021,301~500時間,3
1/30/2022 12:58:16,21,41~60社,大原スポーツ公務員専門学校 公務員学科1年制 卒業,2021,701~900時間,2
1/30/2022 13:03:42,25,11~20社,金沢星稜大学経済学部　卒業,2021,101~300時間,1
1/30/2022 13:07:41,26,11~20社,横浜国立大学大学院理工学府化学・生命系理工学専攻,2020,30時間未満,3
1/30/2022 13:12:57,26,21~40社,立命館大学法学部　卒業,2019,30~100時間,6
1/30/2022 13:14:37,33,11~20社,高等学校,2021,701~900時間,2
1/30/2022 13:15:17,25,1~10社,高卒,2021,501~700時間,1
1/30/2022 13:30:44,28,61社以上,静岡私立静岡北中学校・高等学校,2020,1101時間以上,4
1/30/2022 13:43:14,34,1~10社,高卒,2018,501~700時間,1
1/30/2022 13:51:36,31,1~10社,関西学院大学　商学部　卒業,2019,30~100時間,2
1/30/2022 13:55:19,38,1~10社,高卒,2022,30~100時間,1
1/30/2022 14:19:16,24,11~20社,白石工業高等学校　卒業,2022,101~300時間,1
1/30/2022 14:22:26,32,21~40社,大阪コミュニケーションアート専門学校　ドッグトレーナー専攻　卒業,2020,1101時間以上,1
1/30/2022 14:25:27,26,11~20社,大阪電気通信大学卒業,2022,701~900時間,0
1/30/2022 14:37:44,24,1~10社,高等学校　卒業,2020,701~900時間,2
1/30/2022 14:37:57,24,11~20社,大卒,2021,301~500時間,1
