Timestamp,Country,Current online courses,Preffered online courses,Enjoy online,Motivated online,Satisfied online,Engaging online,Distracted online,Actions online,Enjoy offline,Motivated offline,Satisfied offline,Engaging offline,Distracted offline,Actions online,Preferred course
5/21/2020 14:41:57,Argentina,Discussion forums/chats,Recorded Lectures/Videos,3,4,2,3,4,3,5,4,3,4,2,4,In-person Courses
5/21/2020 14:59:10,Argentina,Discussion forums/chats,Recorded Lectures/Videos,3,2,2,2,4,4,4,4,4,3,3,2,Online Courses
5/21/2020 17:05:44,Argentina,Discussion forums/chats,Recorded Lectures/Videos,5,4,5,5,3,4,4,4,4,4,3,2,Online Courses
5/21/2020 20:08:57,Argentina,Discussion forums/chats,"Live classes (ie: Zoom, google meet etc.)",3,3,2,2,5,2,5,5,4,3,3,4,In-person Courses
5/21/2020 14:38:55,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,3,3,1,2,1,1,1,1,1,2,In-person Courses
5/21/2020 14:47:37,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,3,2,3,4,4,4,5,4,4,1,4,In-person Courses
5/21/2020 14:48:29,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",2,1,2,1,4,1,4,3,3,3,2,3,In-person Courses
5/21/2020 14:48:48,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,2,5,4,4,4,5,5,4,4,3,5,In-person Courses
5/21/2020 15:00:40,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,2,2,4,5,5,5,4,5,2,5,In-person Courses
5/21/2020 15:08:55,Argentina,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,3,4,3,4,2,4,4,4,4,2,3,In-person Courses
5/21/2020 15:15:39,Argentina,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,2,2,2,2,4,4,4,4,4,4,4,2,In-person Courses
5/21/2020 15:46:25,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,5,4,3,4,5,5,5,4,3,4,In-person Courses
5/21/2020 18:06:43,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,2,3,3,5,4,3,3,2,2,5,In-person Courses
5/21/2020 19:46:02,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,2,5,5,3,1,5,5,5,5,1,1,In-person Courses
5/21/2020 20:43:50,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,3,4,3,3,3,5,5,5,5,2,3,In-person Courses
5/21/2020 22:23:35,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",1,3,3,2,4,4,4,4,4,4,2,4,In-person Courses
5/21/2020 22:52:51,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",3,3,4,4,4,4,5,5,5,4,2,5,In-person Courses
5/21/2020 23:26:08,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",4,4,3,4,2,4,4,5,4,5,2,5,In-person Courses
5/21/2020 23:38:44,Argentina,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,4,5,4,3,3,3,5,3,3,4,3,3,Online Courses
5/22/2020 5:02:54,Argentina,"Live classes (ie: Zoom, Google Meet etc.)","Live classes (ie: Zoom, google meet etc.)",5,5,5,4,3,5,4,4,4,5,1,2,Online Courses
5/21/2020 14:54:30,Argentina,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",4,3,2,2,4,4,4,4,5,4,3,4,Online Courses
5/21/2020 15:59:29,Argentina,Recorded Lectures,"Live classes (ie: Zoom, google meet etc.)",2,2,4,4,4,3,5,5,5,5,2,5,In-person Courses
5/21/2020 17:34:07,Argentina,Recorded Lectures,Recorded Lectures/Videos,4,3,3,3,4,3,5,5,5,3,2,5,In-person Courses
5/22/2020 8:53:14,Argentina,Recorded Lectures,Uploaded or emailed Materials,4,3,5,5,3,4,5,5,4,5,1,4,In-person Courses
5/21/2020 14:40:59,Argentina,Uploaded or emailed Materials,Recorded Lectures/Videos,4,1,2,1,5,1,4,3,2,2,4,4,In-person Courses
5/21/2020 15:08:05,Argentina,Uploaded or emailed Materials,Recorded Lectures/Videos,4,4,2,3,3,4,5,4,5,4,3,4,Online Courses
5/21/2020 15:40:38,Argentina,Uploaded or emailed Materials,"Live classes (ie: Zoom, google meet etc.)",1,1,3,2,4,3,5,4,4,4,3,3,In-person Courses
5/21/2020 16:39:18,Argentina,Uploaded or emailed Materials,"Live classes (ie: Zoom, google meet etc.)",3,2,3,3,4,2,4,3,3,3,3,3,In-person Courses
5/21/2020 22:53:45,Argentina,Uploaded or emailed Materials,"Live classes (ie: Zoom, google meet etc.)",5,4,5,4,3,5,5,5,4,4,2,3,In-person Courses
5/22/2020 8:31:55,Argentina,Uploaded or emailed Materials,"Live classes (ie: Zoom, google meet etc.)",2,2,2,3,5,2,4,4,1,3,4,2,In-person Courses
5/22/2020 11:54:36,Argentina,Uploaded or emailed Materials,"Live classes (ie: Zoom, google meet etc.)",5,4,3,5,4,5,4,3,1,3,4,3,Online Courses
5/21/2020 17:20:40,Australia,Discussion forums/chats,"Live classes (ie: Zoom, google meet etc.)",1,1,1,1,1,4,5,5,4,4,3,4,In-person Courses
5/21/2020 20:40:49,Australia,Discussion forums/chats,Recorded Lectures/Videos,4,4,4,5,4,2,4,4,4,4,1,5,Online Courses
5/21/2020 21:02:06,Australia,Discussion forums/chats,"Live classes (ie: Zoom, google meet etc.)",1,1,1,1,1,3,5,5,5,5,3,5,In-person Courses
5/22/2020 1:11:13,Australia,Discussion forums/chats,"Live classes (ie: Zoom, google meet etc.)",4,2,2,4,4,4,4,5,4,5,4,2,In-person Courses
5/21/2020 15:14:29,Australia,"Live classes (ie: Zoom, Google Meet etc.)",Recorded Lectures/Videos,3,3,4,4,5,2,5,5,5,4,3,4,In-person Courses
