Timestamp,[Q.1 / 10] 現在のご年齢を教えて下さい,[Q.2 / 10] 現在のご職業はなんですか？,[Q.3 / 10] 仕事でコーディングの業務経験（※）はありますか？「はい」の場合、何年の経験がありますか？,[Q.4 / 10] プログラミング技術を学ぶとき、教材は英語ではなく日本語で作られていることを望みますか？,[Q.5 / 10] プログラミング学習の教材として「本」は有効だと思いますか？,[Q.6 / 10] プログラミング学習の教材として「ネット上のテキストコンテンツ」は有効だと思いますか？,[Q.7 / 10] プログラミング学習の教材として「動画」は有効だと思いますか？,[Q.8 / 10] プログラミング学習の教材として「コンソール＋テキストコンテンツ形式」は有効だと思いますか？,[Q.9 / 10] プログラミング学習の教材として「講義形式（ライブ授業）」は有効だと思いますか？,[Q.10 / 10] 5～9の質問について、なぜそう思われるのか、ご意見をお聞かせください,book_strength,text_strength,video_strength,console_strength,live_strength,book_weakness,text_weakness,video_weakness,console_weakness,live_weakness
4/12/2022 8:55:22,26 - 30歳,その他,1年未満,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,強く同意する,強く同意する,強く同意する,誰にも合わない形式はないと思うから,combination,combination,combination,combination,combination,,,,,
4/12/2022 8:56:41,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,やや同意する,やや同意する,本形式だと体系的に学べてどこに何が書いてあるかすぐアクセスしやすい。電子だとコピペや自分ノートにも転載しやすくて尚良し。,"operability, quality",operability,operability,,,,,,,
4/12/2022 9:01:20,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,強く同意する（絶対に日本語がいい）,強く同意する,強く同意する,やや同意する,どちらとも言えない,やや同意する,能動的に情報を得るという意味で、ストレスは掛かるが、活字ベースの教材は有効であると感じたため。,others,others,,,,activating,,,,
4/12/2022 9:07:11,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,強く同意する,強く同意する,あまり同意しない,"教材の形式はなんでも良くて、自分でアウトプットが出しやすい教材になっているかが肝だと思う。
機能を説明しているだけの教材だと良くなくて、小さな課題が付いているものだと良い。","combination, others","combination, others","combination, others","combination, others","combination, others",,,,,
4/12/2022 9:08:45,21 - 25歳,その他,ない,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,強く同意する,強く同意する,あまり同意しない,"・初心者は「コンソール＋テキストコンテンツ形式」から取り組んだ方が環境構築などをしなくて良いので学習に取り掛かりやすい。
・次のステップとして、「本」、「動画」を使って説明を読んだり聞いて簡単なアプリを作成することで体系的に学ぶことができる。本や動画は内容に沿ってやっていけばいいので、自分で何をするか考えなくて良い。
・「ネット上のテキストコンテンツ」について、公式を参考にする場合は有効だと思うが、最初からQiitaやZennなどの非公式のものを参考する場合は有効とは思えない。公式を見た後にブログや記事を見ることについては問題ないと思う。
・「講義形式（ライブ授業）」について、受け身となるため学習効率は悪いと思う。講義でやるくらいなら簡単なアプリを複数個作った方が圧倒的に力が付くと思う。

参考になれば幸いです。","combination, quality",combination,"combination, quality","combination, easy-to-understand, easy-to-start",,,quality,,,activating
4/12/2022 9:10:04,21 - 25歳,その他,ない,どちらとも言えない（日本語でも英語でも気にしない）,強く同意する,やや同意する,あまり同意しない,やや同意する,どちらとも言えない,本で学習するのが一番良いと感じます。理由は、本には正確な情報が書かれていて、主観的ではなく一般的に書かれているからです。,quality,,,,,,,,,
4/12/2022 9:39:09,31 - 35歳,その他,ない,強く同意する（絶対に日本語がいい）,やや同意する,やや同意する,やや同意する,強く同意する,まったく同意しない,動画と本とwebで一人で学習できるから,"operability, combination","operability, combination","operability, combination","operability, combination",,,,,,
4/12/2022 9:44:26,21 - 25歳,その他,ない,やや同意する（できれば日本語がいい）,強く同意する,やや同意する,やや同意する,やや同意する,やや同意する,ネットで個人が公開している記事よりかは本の方が信用性が圧倒的に高いため、本が良いのでは。,quality,,,,,,,,,
4/12/2022 9:49:26,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,強く同意する,やや同意する,強く同意する,やや同意する,どちらとも言えない,それぞれ勉強の目的（コードを書く、知識を得る）によって有効だと思います。,combination,combination,combination,combination,,,,,,
4/12/2022 9:50:40,36 - 40歳,SE or ブリッジSE,3年以上5年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,強く同意する,やや同意する,やや同意する,書籍/動画/コンソール/テキストが全て必要であり意義があります。,combination,combination,combination,combination,combination,,,,,
4/12/2022 9:52:29,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,どちらとも言えない（日本語でも英語でも気にしない）,やや同意する,強く同意する,やや同意する,どちらとも言えない,あまり同意しない,"プログラミング学習において大事なのは
1.その言語における文法や概念を理解すること
2.自身で環境構築からコーディング、実行まで行うこと
だと考えているため。","combination, activating, quality","combination, activating, quality","combination, activating, quality",,,,,,practicality,
4/12/2022 9:56:57,36 - 40歳,その他,1年未満,強く同意する（絶対に日本語がいい）,どちらとも言えない,強く同意する,強く同意する,強く同意する,強く同意する,動画や授業は、意味の取違いが少なく印象も残りやすいので学習しやすいです。コンソール+テキストは、環境構築がいらないので自分に合っているかどうかが確認でき最初の学習のタイミングで役立ちました。元々本が一番好きなのですが、少しだけ簡単な案件をお手伝いしだしてからは 困った時に本を開く事は現状ほぼなく、本は現場の様子が全く分からない時に安心感の為に買っていた部分もあると感じています。,"others, dictionary","operability, combination","operability, combination","operability, combination, easy-to-understand, easy-to-start","operability, combination",,,,,
4/12/2022 9:58:39,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,5年以上,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,あまり同意しない,やや同意する,あまり同意しない,プログラミングも日々進化しているのでなるべくネットで学んだ方が良いと思う。コンソール等で自分で実際に書けるとなお良いかもしれない。講義形式は個人ではない全体を見てるイメージがあるので意見や質問をしっかりと発言できる人でないと全体に流されてしまいそう。,,"operability, freshness",,"operability, freshness",,,,,,"operability, asking"
